Aug 21, 2025  03:58:48 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.004

Pressure vs Time Scan Setup:

Active channels in Scan, 1 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1235, Volts
CEM Gain, 1.03E+003 
Sensitivity Factor, 1.99E-005 
Filament Current, 1.00, mAmps
Start time, Aug 21, 2025  03:58:48 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         138.00         Barium                1.00         3            OFF


Time(s)      Channel#1   

583.038,   1.4035E-008,  
584.052,   1.4889E-008,  
585.066,   1.6286E-008,  
586.080,   1.4216E-008,  
587.094,   1.4528E-008,  
588.108,   1.5442E-008,  
589.122,   1.5884E-008,  
590.136,   1.2719E-008,  
591.150,   1.5563E-008,  
592.164,   1.7010E-008,  
593.178,   1.4467E-008,  
594.192,   1.4693E-008,  
595.206,   1.4407E-008,  
596.220,   1.6648E-008,  
597.234,   1.5950E-008,  
598.248,   1.2216E-008,  
599.262,   1.3407E-008,  
600.276,   1.5111E-008,  
601.290,   1.5744E-008,  
602.304,   1.3603E-008,  
603.318,   1.4603E-008,  
604.332,   1.5302E-008,  
605.346,   1.3889E-008,  
606.360,   1.1915E-008,  
607.374,   1.3809E-008,  
608.388,   1.5719E-008,  
609.402,   1.6196E-008,  
610.416,   1.5015E-008,  
611.430,   1.4799E-008,  
612.444,   1.5397E-008,  
613.458,   1.5452E-008,  
614.472,   1.4965E-008,  
615.486,   1.4327E-008,  
616.500,   1.5241E-008,  
617.514,   1.4975E-008,  
618.528,   1.3035E-008,  
619.542,   1.3945E-008,  
620.556,   1.6779E-008,  
621.570,   1.4784E-008,  
622.584,   1.3352E-008,  
623.598,   1.5337E-008,  
624.628,   1.4171E-008,  
625.626,   1.5663E-008,  
626.640,   1.2487E-008,  
627.654,   1.3980E-008,  
628.668,   1.4633E-008,  
629.682,   1.3859E-008,  
630.696,   1.4216E-008,  
631.710,   1.3302E-008,  
632.724,   1.4090E-008,  
633.738,   1.5121E-008,  
634.752,   1.2734E-008,  
635.766,   1.4221E-008,  
636.780,   1.3804E-008,  
637.794,   1.6477E-008,  
638.808,   1.4352E-008,  
639.822,   1.5181E-008,  
640.836,   1.6156E-008,  
641.850,   1.5010E-008,  
642.864,   1.5467E-008,  
643.878,   1.6106E-008,  
644.892,   1.4769E-008,  
645.906,   1.6085E-008,  
646.920,   1.3829E-008,  
647.934,   1.3809E-008,  
648.948,   1.5040E-008,  
649.962,   1.2553E-008,  
650.976,   1.3347E-008,  
651.990,   1.4226E-008,  
653.004,   1.2930E-008,  
654.018,   1.3010E-008,  
655.032,   1.3497E-008,  
656.046,   1.3151E-008,  
657.060,   1.5322E-008,  
658.074,   1.4181E-008,  
659.088,   1.2126E-008,  
660.102,   1.4764E-008,  
661.116,   1.3281E-008,  
662.130,   1.6427E-008,  
663.144,   1.4578E-008,  
664.158,   1.3563E-008,  
665.172,   1.5030E-008,  
666.186,   1.5000E-008,  
667.200,   1.3462E-008,  
668.214,   1.4452E-008,  
669.228,   1.5161E-008,  
670.242,   1.3467E-008,  
671.256,   1.3266E-008,  
672.270,   1.4503E-008,  
673.284,   1.4558E-008,  
674.298,   1.5281E-008,  
675.312,   1.2317E-008,  
676.326,   1.3171E-008,  
677.340,   1.3839E-008,  
678.354,   1.4472E-008,  
679.368,   1.3568E-008,  
680.382,   1.5327E-008,  
681.396,   1.5462E-008,  
682.410,   1.5583E-008,  
683.424,   1.3101E-008,  
684.438,   1.4040E-008,  
685.452,   1.8814E-008,  
686.466,   1.9693E-008,  
687.480,   3.4965E-008,  
688.494,   1.3426E-007,  
689.508,   2.7697E-007,  
690.522,   3.7879E-007,  
691.536,   4.1823E-007,  
692.566,   3.7965E-007,  
693.564,   3.3407E-007,  
694.578,   2.6855E-007,  
695.592,   2.0860E-007,  
696.607,   1.6010E-007,  
697.621,   1.2993E-007,  
698.635,   1.0565E-007,  
699.649,   8.9819E-008,  
700.663,   7.6397E-008,  
701.677,   7.1508E-008,  
702.691,   6.5015E-008,  
703.705,   5.7930E-008,  
704.719,   5.3377E-008,  
705.733,   5.1935E-008,  
706.747,   4.8688E-008,  
707.761,   4.2940E-008,  
708.775,   4.3899E-008,  
709.789,   4.0266E-008,  
710.803,   3.9849E-008,  
711.817,   3.7397E-008,  
712.831,   3.5075E-008,  
713.845,   3.8658E-008,  
714.859,   3.7724E-008,  
715.873,   3.4744E-008,  
716.887,   3.2101E-008,  
717.901,   3.3809E-008,  
718.915,   3.3497E-008,  
719.929,   3.2482E-008,  
720.943,   3.3397E-008,  
721.957,   3.2065E-008,  
722.971,   3.3623E-008,  
723.985,   2.9035E-008,  
724.999,   2.8704E-008,  
726.013,   3.0849E-008,  
727.027,   3.0899E-008,  
